
The Tor BSD Diversity Project
https://torbsd.github.io/
Network Diversity Statistics Reports

Report Type: RELAYS
Report Date: Fri Jan 19 12:26:32 UTC 2018
Data Source: https://onionoo.torproject.org/details

NETWORK BANDWIDTH BY AUTONOMOUS SYSTEM NAME

AS_NAME (records)                                        BANDWIDTH
TOCICI LLC (2)                                           10202852 (0.0%)
NetCologne GmbH (9)                                      10099623 (0.0%)
Marco Sandro Naf (1)                                     9975808 (0.0%)
Karlsruhe Institute of Technology (1)                    9943854 (0.0%)
Korea Telecom (8)                                        9923666 (0.0%)
FOP Kazakov Oleksandr Oleksandrovich (2)                 9875528 (0.0%)
Cox Communications Inc. (18)                             9803021 (0.0%)
Shinjiru Technology Sdn Bhd (11)                         9658565 (0.0%)
D-hosting die Rackspace & Connectivity GmbH (1)          9601024 (0.0%)
Melbikomas UAB (2)                                       9584301 (0.0%)
Visual Online S.A. (1)                                   9568025 (0.0%)
PRO-ZETA a.s. (1)                                        9427968 (0.0%)
Fx Software Srl (1)                                      9337357 (0.0%)
Hoffrath & Janssen GbR (1)                               9332047 (0.0%)
RM Engineering LLC (2)                                   9271254 (0.0%)
Tele Danmark (10)                                        9212915 (0.0%)
Klimenko Anna.Aleksandrovna PE (1)                       9145344 (0.0%)
Hyperoptic Ltd (4)                                       9091752 (0.0%)
23VNet Kft. (2)                                          9083857 (0.0%)
EWE-Tel GmbH (7)                                         9048938 (0.0%)
POST Luxembourg (1)                                      9047040 (0.0%)
Taiwan Academic Network (TANet) Information Center (5)   9011391 (0.0%)
PJSC Industrial Media Network (1)                        8977717 (0.0%)
Monkey Brains (3)                                        8955408 (0.0%)
BelCloud Hosting Corporation (8)                         8935342 (0.0%)
Hydra Communications Ltd (6)                             8780590 (0.0%)
CESNET z.s.p.o. (1)                                      8730856 (0.0%)
AllTele Allmanna Svenska Telefonaktiebolaget (3)         8704207 (0.0%)
Telia Lietuva, AB (2)                                    8686775 (0.0%)
VKontakte Ltd (1)                                        8520594 (0.0%)
Civil associaton Init Lab (1)                            8519631 (0.0%)
HOSTING90 systems s.r.o. (1)                             8494040 (0.0%)
Serverbase AG (3)                                        8474707 (0.0%)
Next Host SRL (1)                                        8379211 (0.0%)
Hostiserver Ltd (1)                                      8311808 (0.0%)
Techstorage sp. z o.o. (1)                               8304640 (0.0%)
PVimpelCom (5)                                           8235103 (0.0%)
PLUTEX GmbH (1)                                          8227158 (0.0%)
prgmr.com, Inc. (4)                                      8183184 (0.0%)
Continuum Data Centers, LLC. (3)                         8136772 (0.0%)
Hong Kong Broadband Network Ltd. (1)                     8134745 (0.0%)
UNINETT AS (2)                                           8108737 (0.0%)
HEG US Inc. (1)                                          8074329 (0.0%)
Claranet Ltd (1)                                         7967691 (0.0%)
Saint-Petersburg Computer Networks Ltd. (2)              7966756 (0.0%)
Artnet Spolka z ograniczona odpowiedzialnoscia (6)       7787942 (0.0%)
Mediam Oy (1)                                            7761321 (0.0%)
Astimp Consulting SRL (1)                                7729407 (0.0%)
Novotelecom Ltd (4)                                      7713882 (0.0%)
So-net Entertainment Corporation (4)                     7699255 (0.0%)
CloudHosting SIA (1)                                     7689216 (0.0%)
