
The Tor BSD Diversity Project
https://torbsd.github.io/
Network Diversity Statistics Reports

Report Type: RELAYS
Report Date: Wed Jan  3 18:14:21 UTC 2018
Data Source: https://onionoo.torproject.org/details

CONSENSUS WEIGHT FRACTION BY AUTONOMOUS SYSTEM NUMBER

AS (records)      CONSENSUS_WEIGHT_FRAC
================  =============================================================
AS47165 (1)       0.0%
AS27715 (3)       0.0%
AS206110 (1)      0.0%
AS1916 (6)        0.0%
AS32400 (1)       0.0%
AS8893 (1)        0.0%
AS49120 (1)       0.0%
AS41843 (1)       0.0%
AS62904 (2)       0.0%
AS133229 (1)      0.0%
AS8559 (1)        0.0%
AS39138 (1)       0.0%
AS55045 (1)       0.0%
AS200185 (2)      0.0%
AS6702 (1)        0.0%
AS200462 (1)      0.0%
AS5466 (1)        0.0%
AS197726 (1)      0.0%
AS49583 (1)       0.0%
AS13041 (1)       0.0%
AS199653 (3)      0.0%
AS202023 (1)      0.0%
AS719 (6)         0.0%
AS30444 (1)       0.0%
AS34086 (1)       0.0%
AS9066 (1)        0.0%
AS45144 (1)       0.0%
AS8416 (1)        0.0%
AS48800 (1)       0.0%
AS51645 (1)       0.0%
AS58130 (1)       0.0%
AS10010 (1)       0.0%
AS1955 (1)        0.0%
AS42575 (1)       0.0%
AS5719 (1)        0.0%
AS15527 (1)       0.0%
AS1741 (1)        0.0%
AS198371 (1)      0.0%
AS15728 (1)       0.0%
AS136258 (2)      0.0%
AS40029 (2)       0.0%
AS45671 (2)       0.0%
AS56630 (1)       0.0%
AS8866 (1)        0.0%
AS29485 (1)       0.0%
AS5563 (2)        0.0%
AS29471 (1)       0.0%
AS133159 (1)      0.0%
AS790 (1)         0.0%
AS30968 (1)       0.0%
AS35492 (1)       0.0%
AS12993 (1)       0.0%
AS32780 (1)       0.0%
AS56300 (1)       0.0%
AS35244 (5)       0.0%
AS49608 (1)       0.0%
AS16242 (1)       0.0%
AS12312 (3)       0.0%
AS196653 (1)      0.0%
AS6828 (1)        0.0%
AS132779 (4)      0.0%
AS6752 (2)        0.0%
AS9304 (5)        0.0%
AS29624 (1)       0.0%
AS4713 (7)        0.0%
AS59939 (1)       0.0%
AS262603 (1)      0.0%
AS29405 (1)       0.0%
AS9930 (1)        0.0%
AS38719 (2)       0.0%
AS3462 (5)        0.0%
AS1161 (1)        0.0%
AS51430 (1)       0.0%
AS29314 (3)       0.0%
AS50837 (1)       0.0%
AS34139 (1)       0.0%
AS2514 (4)        0.0%
AS31242 (1)       0.0%
AS50840 (1)       0.0%
AS41508 (2)       0.0%
AS42994 (1)       0.0%
AS60706 (1)       0.0%
AS31877 (1)       0.0%
AS395570 (1)      0.0%
AS4739 (11)       0.0%
AS199524 (1)      0.0%
AS61440 (1)       0.0%
AS201630 (2)      0.0%
AS15682 (2)       0.0%
AS15435 (2)       0.0%
AS17098 (1)       0.0%
AS8369 (1)        0.0%
AS20021 (1)       0.0%
AS40788 (1)       0.0%
AS206440 (1)      0.0%
AS206587 (1)      0.0%
AS3243 (2)        0.0%
AS199417 (1)      0.0%
AS39375 (1)       0.0%
AS3188 (1)        0.0%
AS52423 (1)       0.0%
AS2497 (2)        0.0%
AS15615 (1)       0.0%
AS13127 (2)       0.0%
AS45815 (1)       0.0%
AS22653 (1)       0.0%
AS15817 (1)       0.0%
AS286 (1)         0.0%
AS47381 (1)       0.0%
AS204092 (1)      0.0%
AS53187 (1)       0.0%
AS4609 (1)        0.0%
AS4771 (4)        0.0%
AS35411 (1)       0.0%
AS8412 (1)        0.0%
AS2860 (4)        0.0%
AS202194 (1)      0.0%
AS44684 (1)       0.0%
AS4694 (1)        0.0%
AS134835 (1)      0.0%
AS58477 (2)       0.0%
AS8905 (1)        0.0%
AS26615 (2)       0.0%
AS18420 (1)       0.0%
AS25560 (5)       0.0%
AS199673 (1)      0.0%
AS203523 (2)      0.0%
AS8447 (7)        0.0%
AS20853 (1)       0.0%
AS46015 (1)       0.0%
AS12659 (1)       0.0%
AS24466 (1)       0.0%
AS37168 (1)       0.0%
AS45731 (1)       0.0%
AS3253 (2)        0.0%
AS43586 (1)       0.0%
AS20738 (1)       0.0%
AS53111 (1)       0.0%
AS35470 (3)       0.0%
AS132335 (2)      0.0%
AS38732 (1)       0.0%
AS25820 (2)       0.0%
AS199267 (1)      0.0%
AS24851 (1)       0.0%
AS29550 (1)       0.0%
AS12578 (1)       0.0%
AS9506 (2)        0.0%
AS15774 (1)       0.0%
AS39288 (1)       0.0%
AS54054 (1)       0.0%
AS812 (3)         0.0%
AS48366 (1)       0.0%
AS12605 (1)       0.0%
AS2516 (2)        0.0%
AS6921 (1)        0.0%
AS53508 (1)       0.0%
AS6799 (5)        0.0%
AS27699 (2)       0.0%
AS9916 (2)        0.0%
AS1221 (5)        0.0%
AS199118 (1)      0.0%
AS7992 (2)        0.0%
AS60140 (1)       0.0%
AS9310 (1)        0.0%
AS28908 (1)       0.0%
AS29208 (1)       0.0%
AS22709 (1)       0.0%
AS31510 (1)       0.0%
AS18812 (1)       0.0%
AS7545 (7)        0.0%
AS50542 (1)       0.0%
AS31939 (1)       0.0%
AS51975 (1)       0.0%
AS29413 (1)       0.0%
AS29190 (1)       0.0%
AS6181 (1)        0.0%
AS18101 (1)       0.0%
AS44869 (1)       0.0%
AS8342 (2)        0.0%
AS17054 (1)       0.0%
AS50543 (1)       0.0%
AS45031 (1)       0.0%
AS15962 (2)       0.0%
AS1403 (2)        0.0%
AS51059 (1)       0.0%
AS4704 (1)        0.0%
AS46841 (1)       0.0%
AS38731 (4)       0.0%
AS27364 (1)       0.0%
AS8315 (1)        0.0%
AS34781 (1)       0.0%
AS250 (1)         0.0%
AS33588 (2)       0.0%
AS29252 (1)       0.0%
AS12392 (1)       0.0%
AS198031 (2)      0.0%
AS27357 (1)       0.0%
AS199284 (1)      0.0%
AS203476 (1)      0.0%
AS16075 (2)       0.0%
AS33894 (1)       0.0%
AS34145 (1)       0.0%
AS37684 (2)       0.0%
AS8228 (3)        0.0%
AS9500 (2)        0.0%
AS55286 (1)       0.0%
AS16281 (1)       0.0%
AS3549 (2)        0.0%
AS51873 (1)       0.0%
AS19994 (2)       0.0%
AS42187 (1)       0.0%
AS13272 (1)       0.0%
AS12946 (1)       0.0%
AS9370 (1)        0.0%
AS16814 (2)       0.0%
AS28573 (6)       0.0%
AS199883 (2)      0.0%
AS37692 (1)       0.0%
AS46176 (1)       0.0%
AS31042 (1)       0.0%
AS47692 (2)       0.0%
AS51191 (1)       0.0%
AS15659 (3)       0.0%
AS42473 (1)       0.0%
AS13703 (1)       0.0%
AS15547 (1)       0.0%
AS4685 (1)        0.0%
AS10481 (2)       0.0%
AS22847 (1)       0.0%
AS13046 (1)       0.0%
AS6079 (3)        0.0%
AS200837 (1)      0.0%
AS41560 (1)       0.0%
AS197301 (2)      0.0%
AS7418 (1)        0.0%
AS6856 (1)        0.0%
AS20375 (1)       0.0%
AS36024 (2)       0.0%
AS4802 (1)        0.0%
AS8749 (1)        0.0%
AS9299 (1)        0.0%
AS16160 (1)       0.0%
AS16202 (3)       0.0%
AS48823 (1)       0.0%
AS24955 (2)       0.0%
AS32244 (1)       0.0%
AS9790 (2)        0.0%
AS197071 (2)      0.0%
AS38790 (1)       0.0%
AS20676 (9)       0.0%
AS12353 (1)       0.0%
AS5390 (1)        0.0%
AS62240 (1)       0.0%
AS7459 (1)        0.0%
AS6461 (1)        0.0%
AS22047 (1)       0.0%
AS34248 (1)       0.0%
AS1267 (6)        0.0%
AS23136 (1)       0.0%
