
The Tor BSD Diversity Project
https://torbsd.github.io/
Network Diversity Statistics Reports

Report Type: RELAYS
Report Date: Fri Jan 19 12:26:31 UTC 2018
Data Source: https://onionoo.torproject.org/details

NETWORK BANDWIDTH BY AUTONOMOUS SYSTEM NUMBER

AS (records)      BANDWIDTH
AS2734 (1)        1506283 (0.0%)
AS2860 (3)        1503906 (0.0%)
AS54054 (1)       1489714 (0.0%)
AS2497 (2)        1479451 (0.0%)
AS45144 (1)       1477632 (0.0%)
AS8416 (1)        1464596 (0.0%)
AS2516 (3)        1463005 (0.0%)
AS790 (1)         1462738 (0.0%)
AS37692 (1)       1460963 (0.0%)
AS42038 (1)       1460830 (0.0%)
AS35411 (2)       1453758 (0.0%)
AS200185 (3)      1444059 (0.0%)
AS5563 (2)        1440945 (0.0%)
AS6848 (3)        1440403 (0.0%)
AS3549 (2)        1439329 (0.0%)
AS38732 (1)       1438720 (0.0%)
