
The Tor BSD Diversity Project
https://torbsd.github.io/
Network Diversity Statistics Reports

Report Type: RELAYS
Report Date: Wed Jan  3 18:14:21 UTC 2018
Data Source: https://onionoo.torproject.org/details

CONSENSUS WEIGHT FRACTION BY AUTONOMOUS SYSTEM NAME

AS_NAME (records)                                        CONSENSUS_WEIGHT_FRAC
=======================================================  ======================
Infomaniak Network SA (1)                                0.0%
Cooolbox AD (1)                                          0.0%
GoDaddy.com, LLC (1)                                     0.0%
Level 3 Communications, Inc. (5)                         0.0%
Aruba SAS (5)                                            0.0%
WideOpenWest Finance LLC (4)                             0.0%
Telecom3 Sverige AB (2)                                  0.0%
Snel.com B.V. (1)                                        0.0%
OU Web Hosting Solutions (2)                             0.0%
Webpass Inc. (3)                                         0.0%
Equinix Asia Pacific (14)                                0.0%
Hawaiian Telcom Services Company, Inc. (1)               0.0%
Croatian Academic and Research Network (1)               0.0%
BiConsult Eood (1)                                       0.0%
Delta Softmedia Ltd. (1)                                 0.0%
INSYS LLC (2)                                            0.0%
K Telecom (1)                                            0.0%
HighSpeed Office Limited (2)                             0.0%
Unwired (2)                                              0.0%
Tiscali UK Limited (5)                                   0.0%
So-net Entertainment Corporation (5)                     0.0%
Complea A/S (1)                                          0.0%
Horyzont Technologie Internetowe sp.z.o.o. (1)           0.0%
CDM (1)                                                  0.0%
LLC CloudSol (1)                                         0.0%
Next point Host EOOD. (1)                                0.0%
uvensys GmbH (4)                                         0.0%
Suddenlink Communications (1)                            0.0%
Proximus NV (12)                                         0.0%
SYNAPSECOM S.A. Provider of Telecommunications and (1)   0.0%
SatTel Corporation, Ltd. (1)                             0.0%
Telenet BVBA (4)                                         0.0%
Tele Columbus AG (3)                                     0.0%
Vodafone Italia S.p.A. (6)                               0.0%
Kyivstar PJSC (5)                                        0.0%
Tiscali SpA (5)                                          0.0%
LLC Internet Tehnologii (1)                              0.0%
Individual Network Berlin e.V. (5)                       0.0%
Netia SA (3)                                             0.0%
Netsign Networks GmbH (1)                                0.0%
Informacines sistemos ir technologijos, UAB (2)          0.0%
Universidad Nacional Autonoma de Mexico (1)              0.0%
CoreSpace, Inc. (1)                                      0.0%
Zen Internet Ltd (4)                                     0.0%
KSS-Telecom OOO (2)                                      0.0%
BRIGHT HOUSE NETWORKS, LLC (5)                           0.0%
AxcelX Technologies LLC (1)                              0.0%
Cybersmart (1)                                           0.0%
Ojsc oao Tattelecom (1)                                  0.0%
MYREPUBLIC LIMITED (2)                                   0.0%
Trytech Ltd. (1)                                         0.0%
BELNET (2)                                               0.0%
SupraNet Communications, Inc. (1)                        0.0%
Bradler & Krantz GmbH & Co. KG (2)                       0.0%
Iskratelecom CJSC (4)                                    0.0%
Highwinds Network Group, Inc. (1)                        0.0%
Mike Kaldig (1)                                          0.0%
Krasnoyarsklespromproekt OJSC (1)                        0.0%
OTK LLC. (1)                                             0.0%
Casablanca INT (1)                                       0.0%
LLC IT Business (1)                                      0.0%
Optima Telecom Ltd. (4)                                  0.0%
Northeastern University (20)                             0.0%
NC Numericable S.A. (6)                                  0.0%
Codero (2)                                               0.0%
Omskie kabelnye seti Ltd. (1)                            0.0%
Locaweb Serviços de Internet S/A (3)                    0.0%
Associação Rede Nacional de Ensino e Pesquisa (6)      0.0%
Artfiles New Media GmbH (1)                              0.0%
Hostway Services, Inc. (1)                               0.0%
Gorset Ltd. (1)                                          0.0%
Host Palace Internet Services (1)                        0.0%
kabelplus GmbH (1)                                       0.0%
rrbone UG (haftungsbeschraenkt) (1)                      0.0%
TekTonic (1)                                             0.0%
Science Production Company Trifle Ltd. (1)               0.0%
Lennart Seitz (1)                                        0.0%
Ukrainian Internet Names Center LTD (1)                  0.0%
Kom lan Ltd (1)                                          0.0%
Eircom (1)                                               0.0%
Consorci de Serveis Universitaris de Catalunya (1)       0.0%
LLHost Inc (1)                                           0.0%
Ocala Electric Utility (1)                               0.0%
T-Systems International GmbH (1)                         0.0%
Net Onboard Sdn Bhd - Quality & Reliable Cloud Hos (1)   0.0%
Infoline Ltd. (1)                                        0.0%
Onetsolutions Sasu (1)                                   0.0%
rsnet s.r.o. (1)                                         0.0%
TOKAI Communications Corporation (1)                     0.0%
LLC Murmansk Multiservice Networks (1)                   0.0%
KIFU (Governmental Info Tech Development Agency) (1)     0.0%
SUNY at Stony Brook (1)                                  0.0%
Tieteen tietotekniikan keskus Oy (1)                     0.0%
Radio Muzyka Fakty Sp. z o.o. (1)                        0.0%
NINET Company Nis d.o.o. (1)                             0.0%
BrainStorm Network, Inc (2)                              0.0%
Novus Entertainment Inc. (2)                             0.0%
Wholesale Services Provider (2)                          0.0%
Melbikomas UAB (1)                                       0.0%
Vivacom (1)                                              0.0%
VIPnet d.o.o. (1)                                        0.0%
CJSC Ural WES (2)                                        0.0%
Mammoth Media Pty Ltd (1)                                0.0%
WebJanssen ISP ltd & Co KG (1)                           0.0%
OOO National Telecommunications (1)                      0.0%
Verein zur Foerderung freier Netze (ZVR: 814804682 (1)   0.0%
Hosting Services, Inc. (1)                               0.0%
SIA Digitalas Ekonomikas Attistibas Centrs (1)           0.0%
MyRepublic Ltd. (1)                                      0.0%
Kabelfernsehen Muenchen ServiCenter GmbH & Co.KG (5)     0.0%
ALDIS Telecom Ltd (1)                                    0.0%
mhs internet AG (1)                                      0.0%
ecotel communication ag (3)                              0.0%
BEST-NET s.r.o. (1)                                      0.0%
RackBank Datacenters Private Ltd (4)                     0.0%
Andorra Telecom Sau (2)                                  0.0%
Hutchison Global Communications (5)                      0.0%
iWelt AG (1)                                             0.0%
NTT Communications Corporation (7)                       0.0%
